state,median,museums
Alabama,44765,1
Alaska,73355,2
Arizona,51492,3
Arkansas,41995,4
California,64500,5
Colorado,63909,6
Connecticut,71346,7
Delaware,61255,8
District of Columbia,75628,9
Florida,49426,1
Georgia,51244,2
Hawaii,73486,3
Idaho,48275,4
Illinois,59588,5
Indiana,50532,6
Iowa,54736,7
Kansas,53906,8
Kentucky,45215,9
Louisiana,45727,1
Maine,51494,2
Maryland,75847,3
Massachusetts,70628,4
Michigan,51084,5
Minnesota,63488,6
Mississippi,40593,7
Missouri,50238,8
Montana,49509,9
Nebraska,54996,1
Nevada,52431,2
New Hampshire,70303,3
New Jersey,72222,4
New Mexico,45382,5
New York,60850,6
North Carolina,47830,7
North Dakota,60557,8
Ohio,51075,9
Oklahoma,48568,0
Oregon,54148,1
Pennsylvania,55702,2
Rhode Island,58073,3
South Carolina,47238,4
South Dakota,53017,5
Tennessee,47275,6
Texas,55653,7
Utah,62912,8
Vermont,56990,9
Virginia,66262,0
Washington,64129,1
West Virginia,42019,2
Wisconsin,55638,3
Wyoming,60214,4
