state,median,museums
AK,73355,162
AL,44765,463
AR,41995,317
AZ,51492,449
CA,64500,2670
CO,63909,649
CT,71346,544
DC,75628,190
DE,61255,132
FL,49426,1149
GA,51244,668
HI,73486,176
IA,54736,661
ID,48275,214
IL,59588,1310
IN,50532,685
KS,53906,537
KY,45215,466
LA,45727,395
MA,70628,1028
MD,75847,618
ME,51494,521
MI,51084,1039
MN,63488,681
MO,50238,742
MS,40593,247
MT,49509,270
NC,47830,779
ND,60557,269
NE,54996,347
NH,70303,363
NJ,72222,756
NM,45382,320
NV,52431,174
NY,60850,2239
OH,51075,1363
OK,48568,547
OR,54148,550
PA,55702,1653
RI,58073,181
SC,47238,391
SD,53017,234
TN,47275,559
TX,55653,1886
UT,62912,170
VA,66262,958
VT,56990,292
WA,64129,721
WI,55638,887
WV,42019,258
WY,60214,192
